ACANTHACEAE#THOMANDERSIA LAURIFOLIA#CYANIDIN
APIACEAE#DAUCUS CAROTA_SSP.CAROTA#CYANIDIN,BETA-D-GALACTOPYRANOSYL-(1-O-3):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-HYDROXY-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6''-(3-4-5-TRIMETHOXY-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6''-(4-HYDROXY-3-5-DIMETHOXY-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-BETA-D-GALACTOPYRANOYL-(1-O-3):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6''-(4-HYDROXY-3-5-DIMETHOXY-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(2-METHOXY-CINNAMOYUL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(3-4-4-TRIMETHOXY-BENZOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(3-METHOXY-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-CHROLO-BENZOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-CHROLO-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-FLURO-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-HYDROXY-BENZOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-HYDROXY-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-HYDROXY-PHENYLPROPANOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-N-DIMETHYL-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-NITRO-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-TRIFLURO-METHANE-BENZOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(TRIFLORO-METHANE-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-CINNAMOYUL:#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]-BETA-D-GALACTOPYRANOSYL-(1-O-3):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2)]BETA-D-GALACTOPYRANOSYL-(1-O-3)-6''-(3-4-5-TRIMETHOXY-CINNAMOYL):#CYANIDIN,BETA-D-GLUCOPYRANOSYL-(1-6)-[BETA-D-XYLOPYRANOSYL-(1-2-}-BETA-D-GALACTOPYRANOSYL-(1-O-3)-6'''-(4-METHOXY-CINNAMOYL):#CYANIDIN,BETA-D-XYLOPYRANOSYL-(1-2)-BETA-D-GALACTOPYRANOSYL-(1-O-3):
APIACEAE#GLEHNIA LITTORALIS#CYANIDIN-3-O-[6-O-TRANS-FERULOYL-BETA-D-GLUCOPYRANOSYL)-2-O-BETA-D-XYLOPYRANOSYL-BETA-D-GLUCOPYRANOSIDE]
APOCYNACEAE#APOCYNUM VENETUM#PROCYANIDIN B-2
APOCYNACEAE#CARISSA CARANDAS#CYANIDIN-3-RHAMNOGLUCOSIDE
APOCYNACEAE#ECDYSANTHERA UTILIS#PROANTHOCYANIDIN A-1#PROANTHOCYANIDIN A-2#PROCYANIDIN B-2
APOCYNACEAE#FUNTUMIA LATIFOLIA#CYANIDIN
APOCYNACEAE#PARAMERIA LAEVIGATA#PROANTHOCYANIDIN A-2#PROANTHOCYANIDIN A-6
APOCYNACEAE#RAUVOLFIA VOMITORIA#CYANIDIN
AQUIFOLIACEAE#ILEX PARAGUARIENSIS#CYANIDIN-3-O-XYLOSYL-GLUCOSIDE
ARACEAE#ANTHURIUM AMNICOLA#CYANIDIN-3-O-BETA-D-RUTINOSIDE
